iteration,objective,router_train_accuracy,router_val_accuracy,router_hold_accuracy,router_adv_accuracy,router_train_macro_f1,router_val_macro_f1,router_hold_macro_f1,router_adv_macro_f1,router_hold_dual_acc,scorer_train_balanced_accuracy,scorer_val_accuracy,scorer_val_balanced_accuracy,scorer_val_f1
1,0.9319,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.8712,0.9167,0.9167,0.9091
2,0.7576,0.9762,1.0,0.9667,0.6667,0.9757,1.0,0.9663,0.6468,0.6667,0.5909,0.625,0.625,0.4
3,0.7016,0.9603,1.0,0.9667,0.6111,0.9594,1.0,0.9663,0.5835,0.7,0.5455,0.5,0.5,0
4,0.7324,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7667,0.5,0.5,0.5,0
5,0.8228,0.9762,1.0,1.0,0.6944,0.9757,1.0,1.0,0.6829,0.7333,0.7576,0.75,0.75,0.6667
6,0.803,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.5,0.5,0.5,0
7,0.7188,0.9762,1.0,1.0,0.6111,0.9757,1.0,1.0,0.579,0.7667,0.5,0.5,0.5,0
8,0.718,0.9762,1.0,1.0,0.6111,0.9757,1.0,1.0,0.6051,0.7333,0.5909,0.5,0.5,0
9,0.7914,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7333,0.5,0.5,0.5,0
10,0.7264,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7333,0.5,0.5,0.5,0
11,0.8916,0.9841,1.0,0.9667,1.0,0.9839,1.0,0.9663,1.0,0.6667,0.75,0.8333,0.8333,0.8
12,0.7324,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7667,0.5,0.5,0.5,0
13,0.7429,0.9921,1.0,1.0,0.6944,0.9921,1.0,1.0,0.6997,0.7667,0.5455,0.5,0.5,0
14,0.8562,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7667,0.8182,0.875,0.875,0.8571
15,0.7384,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7667,0.5,0.5,0.5,0
16,0.8243,0.9921,1.0,1.0,0.7222,0.9921,1.0,1.0,0.7234,0.7667,0.6667,0.7083,0.7083,0.5882
17,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
18,0.8669,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7333,0.8788,0.9167,0.9167,0.9091
19,0.8243,0.9921,1.0,1.0,0.7222,0.9921,1.0,1.0,0.7234,0.7667,0.7045,0.7083,0.7083,0.5882
20,0.8502,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7333,0.8409,0.875,0.875,0.8571
21,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
22,0.7384,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7667,0.5,0.5,0.5,0
23,0.7188,0.9762,1.0,1.0,0.6111,0.9757,1.0,1.0,0.579,0.7667,0.5,0.5,0.5,0
24,0.797,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7333,0.5,0.5,0.5,0
25,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
26,0.7681,0.9921,1.0,1.0,0.9167,0.9921,1.0,1.0,0.9154,0.6667,0.5,0.5,0.5,0
27,0.9375,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.9015,0.9167,0.9167,0.9091
28,0.8467,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.6364,0.625,0.625,0.4
29,0.8321,0.9921,1.0,1.0,0.6944,0.9921,1.0,1.0,0.6997,0.7667,0.7273,0.75,0.75,0.6667
30,0.8425,0.9762,1.0,1.0,0.6111,0.9757,1.0,1.0,0.579,0.7667,0.8636,0.875,0.875,0.8571
31,0.7309,0.9921,1.0,1.0,0.6944,0.9921,1.0,1.0,0.6997,0.7,0.5,0.5,0.5,0
32,0.7264,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7333,0.5,0.5,0.5,0
33,0.7384,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7667,0.5,0.5,0.5,0
34,0.809,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7667,0.7045,0.7083,0.7083,0.5882
35,0.803,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.5,0.5,0.5,0
36,0.9375,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.8409,0.9167,0.9167,0.9091
37,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
38,0.8663,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.6515,0.6667,0.6667,0.5
39,0.8096,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7,0.6742,0.75,0.75,0.6667
40,0.874,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.6667,0.7083,0.7083,0.5882
41,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
42,0.9101,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.7803,0.8333,0.8333,0.8
43,0.7188,0.9762,1.0,1.0,0.6111,0.9757,1.0,1.0,0.579,0.7667,0.5,0.5,0.5,0
44,0.9212,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.8485,0.875,0.875,0.8571
45,0.808,0.9762,1.0,1.0,0.6111,0.9757,1.0,1.0,0.579,0.7667,0.75,0.75,0.75,0.6667
46,0.7324,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7667,0.5606,0.5,0.5,0
47,0.7067,0.9762,1.0,0.9667,0.6111,0.9757,1.0,0.9663,0.579,0.7333,0.5,0.5,0.5,0
48,0.8621,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7667,0.8409,0.875,0.875,0.8571
49,0.9097,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7333,0.8106,0.8333,0.8333,0.8
