case_id,rater_id,rater_level,overall_score,final_classification,g0,g1,g2
case-001,rater-01,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-001,rater-02,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-001,rater-03,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-002,rater-01,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-002,rater-02,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-002,rater-03,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-003,rater-01,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-003,rater-02,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-003,rater-03,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-004,rater-01,Principal Security Engineer,4,READY_HIGH_CONFIDENCE,PASS,PASS,PASS
case-004,rater-02,Principal Security Engineer,4,READY_HIGH_CONFIDENCE,PASS,PASS,PASS
case-004,rater-03,Principal Security Engineer,4,READY_HIGH_CONFIDENCE,PASS,PASS,PASS
case-005,rater-01,Principal Security Engineer,4,READY_HIGH_CONFIDENCE,PASS,PASS,PASS
case-005,rater-02,Principal Security Engineer,4,READY_HIGH_CONFIDENCE,PASS,PASS,PASS
case-005,rater-03,Principal Security Engineer,4,READY_HIGH_CONFIDENCE,PASS,PASS,PASS
case-006,rater-01,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-006,rater-02,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-006,rater-03,Principal Security Engineer,2,NOT_READY,PASS,FAIL,PASS
case-007,rater-01,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-007,rater-02,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-007,rater-03,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-008,rater-01,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-008,rater-02,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-008,rater-03,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-009,rater-01,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-009,rater-02,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-009,rater-03,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-010,rater-01,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-010,rater-02,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
case-010,rater-03,Principal Security Engineer,0,NOT_READY,FAIL,FAIL,FAIL
